Campo;Tipo;Obrigatoriedade
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHIDSER;string;TRUE
COMP_CODE;string;TRUE
ZDTMOVIME;int;TRUE
ZCHRES1;string;TRUE
ZCHIDTITL;int;TRUE
ZCHTPAPEL;string;TRUE
ZCHCPFBEN;string;TRUE
RECORDMODE;string;TRUE
ZCHTPDOCP;int;TRUE
ZCHNBENES;string;TRUE
ZCHNACSEG;string;FALSE
ZCHFONE;string;FALSE
ZCHEMAIL;string;FALSE
ZCHENDSEG;string;TRUE
ZCHMUNICI;string;TRUE
ZCHUF;string;TRUE
ZCHPAISPE;string;TRUE
ZCHCEPPE;string;TRUE
ZCHTDIRES;string;TRUE
ZCHTDISOR;string;TRUE
ZCHTRSTIT;string;FALSE
ZCHDTCDRE;int;FALSE
ZCHDTCDSO;int;FALSE
ZCHDOCPJ;string;FALSE
ZCHTIPPJ;string;FALSE
ZCHVINCPJ;string;FALSE
ZCHTPPINT;string;FALSE
ZCHDTINT;string;FALSE
ZCHNRSUSE;string;FALSE
ZKFCOMIS;double;FALSE
CURRENCY;string;FALSE
ZCHIDREG;string;FALSE
ZCHDTHRP;string;FALSE
STATUS;int;FALSE
DTHR;int;TRUE
NOMEARQ;string;FALSE
NROLIN;int;FALSE
