campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHREQUID;int;TRUE
ZCHTPEVOP;int;TRUE
COMP_CODE;string;TRUE
ZCHSUCURS;string;TRUE
ZCHRAMO;string;TRUE
ZCHAPOLIC;string;TRUE
ZCHENDOSS;string;TRUE
ZCHUNICO;string;TRUE
ZCHPROPOS;string;TRUE
ZCHSININT;string;FALSE
ZDTMOVIME;int;TRUE
ZCHOBJSE1;string;TRUE
ZKFVLAMBP;double;FALSE
CURRENCY;string;FALSE
ZKFVLCOMP;double;FALSE
ZCHCONTCP;string;FALSE
ZCHVLCOMP;int;FALSE
ZCHVLAMBP;int;FALSE
ZCHDTICOB;int;FALSE
ZCHDTFCOB;int;FALSE
ZCHPZCOB;int;FALSE
ZCHUNICOB;int;FALSE
ZCHINDCOB;string;FALSE
ZCHDOCPT;string;FALSE
ZCDESCPTS;string;FALSE
ZCHDOCTER;string;FALSE
ZCHDESTER;string;FALSE
ZCHCLPROF;int;FALSE
ZCHDSPROF;string;FALSE
ZCHAPLRET;string;FALSE
ZCHORISRO;string;FALSE
