campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHREQUID;int;TRUE
ZCHTPEVOP;int;TRUE
COMP_CODE;string;TRUE
ZCHSUCURS;string;TRUE
ZCHRAMO;string;TRUE
ZCHAPOLIC;string;TRUE
ZCHENDOSS;string;TRUE
ZCHUNICO;string;TRUE
ZCHPROPOS;string;TRUE
ZDTMOVIME;int;TRUE
ZCHOBJSE1;string;TRUE
ZCHCOBSEG;string;TRUE
RECORDMODE;string;FALSE
ZCHCOBERT;int;TRUE
ZCHDEZCOB;string;FALSE
ZCHCBSEGU;string;FALSE
ZKFIMPSEG;double;TRUE
CURRENCY;string;FALSE
ZDTEMISS;int;FALSE
ZDTINIVG;int;TRUE
ZDTFIMVG;int;TRUE
ZKFPREITE;double;TRUE
ZKFADFRA;double;FALSE
ZKFCUSAP;double;FALSE
ZKFCTAQOP;double;FALSE
ZCHCSAQRD;double;FALSE
ZCHINDREA;string;FALSE
ZCHPERIND;int;FALSE
ZCHUNTEMP;int;FALSE
ZCHTPPRAZ;string;FALSE
ZKFIOF;double;FALSE
ZCHCARCOB;int;TRUE
ZCHTIPRIS;int;FALSE
ZCHTIPCOB;int;TRUE
ZCHRISCOB;string;FALSE
ZCHTPINCO;string;FALSE
ZKFPEINPA;double;FALSE
ZKFPERLMI;double;FALSE
ZCHDPECOB;int;FALSE
ZCHFLFRIN;string;FALSE
ZCHCOBVIN;string;FALSE
ZCHDANCOB;string;FALSE
ZKFPRLAC;double;FALSE
ZCHCTRSEP;string;FALSE
ZCHORISRO;string;FALSE
ZCHSTCONT;string;FALSE
ZCHORIGEM;string;FALSE
ZCHPROCSU;string;TRUE
