Campo;Tipo;Obrigatoriedade
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHIDSER;string;TRUE
COMP_CODE;string;TRUE
ZDTMOVIME;int;TRUE
ZCHRES1;string;TRUE
RECORDMODE;string;TRUE
ZCHFUNB3;string;FALSE
ZCHTPRB3;string;FALSE
ZCHACB3;string;FALSE
ZCHCTAB3;string;FALSE
ZCHPARTB3;string;FALSE
ZCHMODAL;string;TRUE
ZCHPROSUS;string;TRUE
ZCHDENCOM;string;FALSE
ZCHTSERIE;string;TRUE
ZKFNTIVEN;int;FALSE
ZDTEMISS;int;FALSE
ZFKQUOCAR;double;TRUE
ZFKQUOCAP;double;FALSE
ZFKQUOSOR;double;TRUE
ZCHPRZCR;int;TRUE
ZCHPRZCRT;int;TRUE
ZCHINDATU;string;TRUE
ZCHDSINDA;string;FALSE
ZCHPERIA;string;FALSE
ZCHDPERIA;string;FALSE
ZCHINREAJ;string;TRUE
ZCHDINDRE;string;FALSE
ZCHCLAUB;string;TRUE
ZCHTPCON;string;TRUE
ZCHDTPCO1;string;FALSE
ZCHDTPCO2;string;FALSE
ZFKTXJUR;double;TRUE
ZCHTPREGI;string;FALSE
ZCHTPENV;string;FALSE
ZCHMOTALT;string;FALSE
ZCHLINNE;string;FALSE
ZCHORIGEM;string;TRUE
ZCHIDREG;string;FALSE
ZCHDTHRP;int;FALSE
STATUS;int;FALSE
DTHR;int;TRUE
NOMEARQ;string;FALSE
NROLIN;int;FALSE
