Campo;Tipo;Obrigatoriedade
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHIDSER;string;TRUE
COMP_CODE;string;TRUE
ZDTMOVIME;int;TRUE
ZCHRES1;string;TRUE
ZCHIDTITL;string;TRUE
ZCHIDEVEN;string;TRUE
ZCHTPROV;string;TRUE
RECORDMODE;string;TRUE
ZCHSERTIT;string;TRUE
ZCHFUNB3;string;FALSE
ZCHTPRB3;string;FALSE
ZCHACB3;string;FALSE
ZCHCTAB3;string;FALSE
ZCHPARTB3;string;FALSE
ZCHMODAL;string;TRUE
ZCHTPEVE;string;FALSE
ZCHDTEVEN;int;FALSE
ZFKVENTRA;double;FALSE
ZFKVSAIDA;double;FALSE
ZKFVPROV;double;TRUE
ZCHMREF;string;FALSE
ZCHANOREF;int;FALSE
ZCHTPREGI;string;FALSE
ZCHTPENV;string;FALSE
ZCHMOTIV1;string;FALSE
ZCHLINNE;string;FALSE
ZCHORIGEM;string;TRUE
ZCHIDREG;string;FALSE
ZCHDTHRP;int;FALSE
STATUS;int;FALSE
DTHR;int;TRUE
NOMEARQ;string;FALSE
NROLIN;int;FALSE
