campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHREQUID;int;TRUE
ZCHTPEVOP;int;TRUE
COMP_CODE;string;TRUE
ZCHSUCURS;string;TRUE
ZCHRAMO;string;TRUE
ZCHAPOLIC;string;TRUE
ZCHENDOSS;string;TRUE
ZCHUNICO;string;TRUE
ZCHPROPOS;string;TRUE
ZCHSININT;string;FALSE
ZDTMOVIME;int;TRUE
RECORDMODE;string;FALSE
ZCHTPENDO;int;FALSE
ZDTEMISS;int;FALSE
ZDTINIVG;int;FALSE
ZDTFIMVG;int;FALSE
ZCHENDASS;string;FALSE
ZCHMOTSRO;string;FALSE
ZCHORISRO;string;FALSE
ZCHSTCONT;string;FALSE
