campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHREQUID;int;TRUE
FC_OPBEL;string;TRUE
FC_OPUPW;int;TRUE
FC_OPUPK;int;TRUE
FC_OPUPZ;int;TRUE
ZCHAPOLIC;string;TRUE
ZCHENDOSS;string;TRUE
ZCHPROPOS;string;TRUE
ZCHCOSRES;string;TRUE
RECORDMODE;string;FALSE
SEGMENT;string;FALSE
ZCHNRSEQ;int;FALSE
GL_ACCOUNT;string;FALSE
CHRT_ACCTS;string;FALSE
ZCHDGREF;string;FALSE
ZCHOBJSEG;string;FALSE
FC_PYMET;string;FALSE
COUNTRY;string;FALSE
BPARTNER;string;FALSE
ZCHSEQARQ;int;FALSE
ZCHCOMREG;int;FALSE
ZCHCHAVE;string;FALSE
ZCHTPMOVI;string;FALSE
COMP_CODE;string;FALSE
ZCHSUCURS;string;FALSE
ZCHRAMO;string;FALSE
ZCHUNICO;string;FALSE
ZCHSININT;string;FALSE
ZCHTIPDOC;int;FALSE
ZCHCONRES;string;FALSE
ZCHTIPLIQ;int;TRUE
ZCHINDRST;int;FALSE
ZCHTPMFIN;int;FALSE
ZCHPARCE;string;TRUE
ZCHDTPGPA;int;TRUE
ZKFVALCOM;double;FALSE
ZKFAJUPAG;double;FALSE
ZCHVALPAG;double;TRUE
CURRENCY;string;TRUE
ZDTVPARC;int;TRUE
ZCHTPOPBA;string;FALSE
ZCHBKNUM;string;FALSE
ZCHAGECTP;string;FALSE
ZCHCONCTP;string;FALSE
ZCHCODCTP;int;FALSE
BP_TAXCAT;string;FALSE
TAXNUMBER;string;FALSE
ZCHBPNAME;string;FALSE
FC_CLEARR;string;FALSE
CLEAR_DATE;int;FALSE
FC_BLART;string;FALSE
FC_AUGBL;string;FALSE
DOC_DATE;int;TRUE
ZCHORISRO;string;FALSE
ZCHINDCOS;int;FALSE
